strategy,round,centralized_loss,centralized_acc,train_loss,train_acc,avg_delay_s,bytes_mb,clients_used,failures
Baseline,0,2.3072,0.042,nan,nan,nan,nan,0,0
Baseline,1,1.9661,0.3968,0.3078,0.8908,1.33,4.23,10,0
Baseline,2,1.6468,0.3955,0.191,0.9288,0.72,4.23,10,0
Baseline,3,1.505,0.4651,0.1522,0.9422,1.24,4.23,10,0
Baseline,4,1.4456,0.4884,0.1301,0.9496,1.51,4.23,10,0
Baseline,5,1.2925,0.4975,0.1248,0.9505,1.61,4.23,10,0
Partial (k=5),0,2.3067,0.1,nan,nan,nan,nan,0,0
Partial (k=5),1,2.1526,0.1291,0.3659,0.8782,1.8,2.12,5,0
Partial (k=5),2,2.2567,0.2241,0.293,0.8824,0.43,2.12,5,0
Partial (k=5),3,2.7542,0.3334,0.1887,0.9273,0.7,2.12,5,0
Partial (k=5),4,1.9005,0.2354,0.1655,0.9423,1.66,2.12,5,0
Partial (k=5),5,1.6751,0.4188,0.1433,0.9479,1.95,2.12,5,0
Deadline (8s),0,2.3084,0.1002,nan,nan,nan,nan,0,0
Deadline (8s),1,2.3084,0.1002,nan,nan,nan,nan,0,10
Deadline (8s),2,2.0812,0.4256,0.3409,0.8612,0.87,4.23,10,0
Deadline (8s),3,1.6157,0.4383,0.2062,0.9252,1.07,4.23,10,0
Deadline (8s),4,1.3706,0.5122,0.1571,0.9408,1.59,4.23,10,0
Deadline (8s),5,1.3822,0.4429,0.1347,0.9476,1.3,4.23,10,0
Async (1.5s),0,2.3002,0.1103,nan,nan,nan,nan,0,0
Async (1.5s),1,2.3002,0.1103,nan,nan,nan,nan,0,10
Async (1.5s),2,2.3002,0.1103,nan,nan,nan,nan,0,10
Async (1.5s),3,2.3002,0.1103,nan,nan,nan,nan,0,10
Async (1.5s),4,2.3002,0.1103,nan,nan,nan,nan,0,10
Async (1.5s),5,2.3002,0.1103,nan,nan,nan,nan,0,10
Erasure Coded,0,2.3084,0.1,nan,nan,nan,nan,0,0
Erasure Coded,1,2.3084,0.1,nan,nan,nan,nan,0,10
Erasure Coded,2,2.3667,0.199,0.3073,0.8886,0.49,2.12,5,5
Erasure Coded,3,1.9164,0.352,0.1722,0.9366,1.05,4.23,10,0
Erasure Coded,4,1.8214,0.4312,0.1469,0.9464,1.52,4.23,10,0
Erasure Coded,5,2.0224,0.4766,0.1217,0.9544,1.5,4.23,10,0
